2735,106,29,36400
2751,56,35,100
2843,132,38,6000
2854,33,29,100
2872,92,45,9000
2893,308,41,4600
2915,55,31,500
2919,27,30,7000
2965,232,64,10000
3043,38,22,500
3066,105,51,3000
3068,149,25,21500
3074,212,45,4000
3186,44,33,300
3187,123,39,28700
3199,23,32,500
3232,45,51,300
3279,328,53,12500
3339,63,34,2000
3356,49,40,1100
3394,167,46,4500
3409,203,30,63700
3514,91,56,1500
3544,23,30,800
3552,146,32,3200
3562,48,41,100
3668,95,46,4600
3721,137,49,1500
3728,18,28,3100
3733,83,30,300
3745,47,25,2000
3891,38,40,500
3910,96,45,300
3919,88,39,11300
3942,26,27,4000
3945,184,33,2000
4001,52,40,4000
4006,67,28,500
4084,473,44,3000
4168,92,52,13100
4218,130,52,12300
4249,85,40,300
4299,235,33,44000
4377,73,44,4800
4388,121,43,1500
4411,23,28,500
4441,26,31,500
4462,50,28,500
4486,195,54,100
4495,10,25,400
4504,56,40,200
4514,87,41,9000
4529,157,36,6600
4586,81,20,500
4628,103,37,360
4674,37,56,6000
4850,127,41,400
4925,57,31,3800
5011,253,41,51000
5012,75,32,8200
5059,13,43,300
5136,41,26,100
5150,37,34,200
5204,68,29,400
5225,112,30,200
5283,76,44,1100
5302,140,37,7000
5576,79,32,4000
5583,126,58,100
5585,244,29,24500
5599,32,28,100
5719,38,28,2000
5732,22,26,300
5850,34,54,6000
5875,92,40,14800
5897,115,23,900
6004,60,27,700
6055,66,29,500
6069,50,28,300
6120,20,35,300
6168,89,54,500
6263,11,32,200
6402,29,26,500
6434,44,26,300
6480,126,33,9200
6488,48,34,5000
6490,93,34,2000
6550,22,29,100
6681,103,31,9500
6753,17,27,800
6818,37,29,100
7043,138,37,1000
7088,37,27,1200
7187,114,27,100
7237,14,21,3000
7238,54,58,8200
7435,135,33,30600
7454,26,37,2400
7469,91,53,1000
7562,115,44,2200
7683,119,40,23600
7762,73,42,300
7763,19,22,300
7777,48,38,1000
7786,158,50,19500
7809,62,57,7300
7822,133,34,14300
7834,35,17,100
7867,30,27,500
7918,76,22,300
7926,59,25,200
8062,208,29,12500
8122,66,40,900
8157,110,40,2500
8158,64,21,400
8167,16,34,100
8314,106,42,1000
8340,165,31,7800
8353,48,25,9500
8397,25,27,100
8403,101,37,1000
8421,281,46,1500
8434,83,40,1000
8505,108,46,100
8608,316,40,2000
8616,26,31,800
8652,51,37,3000
8666,150,40,2000
8667,45,40,5000
8749,130,46,600
8751,104,52,500
8801,61,40,500
8815,107,40,800
8821,94,35,100
8823,206,40,6500
8885,64,29,1600
8889,172,34,300
8936,219,30,100
8941,46,34,900
9010,54,39,3000
9014,22,20,500
9024,68,26,21500
9095,111,47,3000
9245,61,34,5000
9310,121,39,8800
9410,178,51,4700
9416,39,53,1500
9453,161,33,8600
9627,67,49,1000
9737,20,35,100
9760,79,34,6300
9768,34,37,100
9813,132,31,1200
9910,78,24,2800
9937,57,39,1000
9996,66,34,5300
